video_name,question_id,question,answer0,answer1,answer2,answer3,type,start-time/s,urgency
00000,v_00000_1,Is the driver looking at me or facing forward?,The driver is facing forward.,Facing forward.,He is facing forward.,,communication and interaction,40.98,not_urgent
00000,v_00000_2,Is everything secure inside the car?,Yes.,,,,safety warnings,54,not_urgent
00000,v_00000_3,How do I lower or raise the window?,Use the window control button on the car door.,The door on your left has a press or rocker operation.,You can ask the driver for help.,,tool use,22.98,not_urgent
00000,v_00000_4,Which direction will I need to move to exit the vehicle?,Left.,"Usually you can't open the door on the left, you you have to try the left first, then the right.","You're closer to the left door, but it will be safer if you exit from the right door.",,local navigation and positioning,46.98,urgent
00000,v_00000_5,How do I adjust the seatbelt?,You need to pull the belt from the side of your seat and click it into the buckle.,It's on the buttom left or right of where you are sitting.,"The seat belt may be on your upper left, you can pull it to the lower right and insert it into the buckle.",,tool use,6.99,urgent
00001,v_00001_1,Am I still on the right path if I continue straight?,Yes.,"Yes, on the right road, but you have to pay attention to the obstacles on this road.",,"Yes, but there are shared bicycles blocking the road ahead.",resource acquisition and others,3,urgent
00001,v_00001_2,How to navigate around these parked scooters safely?,Walk carefully around the left side.,"First walk half a meter to the left, then walk a few meters and then walk half a meter to the right.",Now walk a short distance to the right and you will come to a spacious section.,Move forward a little to the left of the blind path.,local navigation and positioning,0.99,urgent
00001,v_00001_3,Are there any obstacles on the sidewalk ahead?,On your right there are several battery carts.,"Yes, there are many rows of motorcycles and bicycles.",There is a row of electric vehicles in front of the right.,"Yes, there are shared bicycles blocking the road ahead.",information reading,0.99,urgent
00001,v_00001_4,Is there a clear path ahead of me?,Yes.,"Yes, there is, but some parts are blocked by motorcycles.",Temporally yes.,"Yes, but only a short distance is feasible, and there are shared bicycles blocking the road further ahead.",information reading,0.99,urgent
00001,v_00001_5,Is there a clear path?,Yes.,"Yes, but some roads are blocked by motorcycles and bicycles.",Temporally yes.,,information reading,3,urgent
00002,v_00002_1,How can I avoid the bicycles ahead?,Step carefully to your left to go around them.,"Walk slower, the width a person can walk is only the width of their shoulders.",Walk a little to the right.,Walk slowly and pay attention to the vehicles parked on both sides.,resource acquisition and others,3.99,urgent
00002,v_00002_2,Am I facing the crosswalk now?,Yes.,,,,resource acquisition and others,9,urgent
00002,v_00002_3,Is it safe to cross the street now?,Yes.,"Yes, but there may be vehicles coming and going on both sides.",,"I don't know, there may be vehicles passing through the intersection.",safety warnings,6.99,urgent
00002,v_00002_4,How can I get to the crosswalk from here?,Move ahead a few steps.,"Walking forward, there are several cylinders half a meter high at the beginning of the sidewalk.",Go straight ahead.,Walk forward with the help of the person next to you.,local navigation and positioning,9,urgent
00002,v_00002_5,Are there any obstacles on the path ahead?,There are bicycles parked along the path.,"Yes, there are bicycles and motorcycles parked on both sides of you.",Bicycles and electric bikes are crowded on both sides.,"Yes, there are parked bicycles and stone pillars ahead.",information reading,3,urgent
00003,v_00003_1,Are we approaching a busy intersection?,Yes.,,,,information reading,6.99,urgent
00003,v_00003_2,Am I about to cross the street?,Yes.,"Yes, but don't rush to cross the road, there are vehicles coming and going on both sides.",,,resource acquisition and others,6.99,urgent
00003,v_00003_3,Is it safe to cross the street now?,No.,"No, there are cars on both sides.","A car is about to pass through the street, it is recommended to wait a little.",,safety warnings,6.99,urgent
00003,v_00003_4,How do I get to the nearest pedestrian bridge from here?,Go straight ahead.,"Stop at the end of the blind road, there are vehicles coming and going on both sides, and there is a staircase leading to the overpass after crossing this road.",,There is a flyover at the intersection ahead.,local navigation and positioning,3,urgent
00003,v_00003_5,Am I near the blind lane?,"Yes, the blind path is a step or two to your left.","Yes, the blind path is about half a meter to your left.",On your left.,Yes.,information reading,3,urgent
00003,v_00003_6,Are there any obstacles in the path ahead?,"Yes, there are two barricades ahead.","There is a gate 3.4 meters in front of you, and at the end of the blind path, there are two and a half meter high cylinders.",Yes.,"Yes, there are stone pillars and roadblocks ahead.",information reading,3,urgent
00004,v_00004_1,Am I facing the main entrance of the building ahead?,Yes.,,,,resource acquisition and others,4.98,not_urgent
00004,v_00004_2,Which direction should I walk to reach the flower garden?,Go straight ahead.,"I don't know what garden you're talking about, you're in the flowers.",Right ahead.,"I don't know, it's already in the garden now.",local navigation and positioning,10.98,not_urgent
00004,v_00004_3,what is around me in this park?,In front of you is a lawn dotted with some red flowers.,"Flowers, plants, trees, and people passing by.",Many flowers.,Flowers.,information reading,4.98,not_urgent
00004,v_00004_4,Are there any obstacles ahead of me in this park?,Yes.,There is no road ahead of you because there are only flowers and plants in front of you.,There are some flowers ahead of you.,"Yes, there are flowers and plants ahead.",information reading,10.98,urgent
00004,v_00004_5,Is it sunny in the park right now?,Yes.,"The sky is blue, it's sunny.",,,information reading,10.98,not_urgent
00009,v_00009_1,Are there any sharp or dangerous objects near my hands?,No.,"The four corners of the sanitary napkin are slightly sharp, pay a little attention.",,,safety warnings,6.99,urgent
00009,v_00009_2,which one of these is for night use?,Left.,,I don't know.,"I don't know, maybe it's black on the left hand.",information reading,3.99,not_urgent
00010,v_00010_1,How do I locate the aisle for baby care products from here?,"From this aisle, turn to your right and walk forward. The baby care products aisle is the third one on your right.","You can ask the person next to you, or the salesperson.",I don't know.,With the help of the shopping guide aunt.,local navigation and positioning,10.98,not_urgent
00010,v_00010_2,Is there enough space for me to navigate safely between the shelves?,I don't know.,Yes.,,,information reading,6,urgent
00010,v_00010_3,What brand is the pink package I am holding?,I don't know.,Holding in the left hand.,,,information reading,6,not_urgent
00010,v_00010_4,Which brand of sanitary napkins am I holding?,I don't know.,Free point.,,,information reading,6,not_urgent
00010,v_00010_5,Are there any obstacles on the floor that I need to watch out for ?,I don't know.,No.,,Pay attention to the protruding corners on the shelves.,information reading,12.99,urgent
00010,v_00010_6,What are the price tags of the products on the shelves in front of me?,"Some of the visible price tags are 12.80, 10.50, and 9.80.",12.5 yuan.,It says 12.50 on it.,"I don't know, there are multiple price tags ahead.",information reading,12.99,not_urgent
00010,v_00010_7,Which shelf has the sanitary napkins with the larger size?,I don't know.,The floor you are facing.,,Top largest.,information reading,12.99,not_urgent
00011,v_00011_1,Am I facing the exit of this store?,Yes.,,,,resource acquisition and others,6.99,urgent
00011,v_00011_2,Is it safe for me to walk through the exit door?,Yes.,"It should be safe, pay attention to whether there are steps.",,,safety warnings,6.99,urgent
00011,v_00011_3,Can you assist me with locating the exit?,In front of you.,You go straight is the exit.,Directly in front.,The exit is straight ahead.,local navigation and positioning,6.99,urgent
00011,v_00011_4,Is there anyone blocking the aisle in front of me?,No.,"No one, but there is someone in front of you who is checking out.",,"No, there will be someone on the right front by then.",information reading,3,urgent
00012,v_00012_1,Are there any sharp objects on the counter that I need to be careful of?,No.,,,,safety warnings,21,urgent
00012,v_00012_2,How do I reach the cashier desk?,In front of you.,Go straight and pay attention to the checkout page on the right.,Directly in front.,Now on the checkout page.,local navigation and positioning,30.99,urgent
00012,v_00012_3,What items are placed on the counter?,I don't know.,"One pack of overnight sanitary napkins, one pack of daily use, and one pack of soap.",Three packs of sanitary napkins.,Sanitary napkins.,information reading,6.99,not_urgent
00012,v_00012_4,Is there enough space to place my items on the counter ?,Yes.,The space is large enough.,,,information reading,31.98,urgent
00012,v_00012_5,What are the choices available for the items in front of me?,There are bottles of soft drinks and some packaged snacks.,"Lollipops, Wong Lo Kat.","Large cans of Wanglaoji, lollipops, and bunny-wrapped candies.",There are different types of lollipops to choose from.,information reading,15,not_urgent
00012,v_00012_6,Could you tell me again what is my total amount due after getting the thin night pack?,I don't know.,,,,information reading,22.98,not_urgent
00013,v_00013_1,Is the cashier helping me with the payment?,Yes.,,,,communication and interaction,69,urgent
00013,v_00013_2,Has the cashier moved the payment QR code?,No.,She scanned your Alipay payment code with a cash register machine.,,,communication and interaction,40.98,not_urgent
00013,v_00013_3,Am I facing the cashier directly now?,Yes.,,,,resource acquisition and others,63,not_urgent
00013,v_00013_4,How do I turn on this device?,Press and hold the power button on the side of the device for a few seconds.,Ask the cashier.,I don't know.,By tapping the phone screen.,tool use,6,not_urgent
00013,v_00013_5,Where is the cash register?,"In front of you, slightly to the right.",Right in front of you.,In front left.,In the hands of the cashier ahead.,resource acquisition and others,15,urgent
